host,ip,port,protocol,title,domain,country,city,link,org
159.75.211.61:81,159.75.211.61,81,http,403 Forbidden,,CN,Guangzhou,http://159.75.211.61:81,Shenzhen Tencent Computer Systems Company Limited
oubokt.com,120.79.191.22,80,http,403 Forbidden,oubokt.com,CN,Shenzhen,http://oubokt.com,"Hangzhou Alibaba Advertising Co.,Ltd."
https://119.3.215.168:30001,119.3.215.168,30001,https,403 Forbidden,,CN,Beijing,https://119.3.215.168:30001,Huawei Cloud Service data center
129.204.252.168,129.204.252.168,80,http,403 Forbidden,,CN,Guangzhou,http://129.204.252.168,Shenzhen Tencent Computer Systems Company Limited
https://8.138.166.120:8088,8.138.166.120,8088,https,403 Forbidden,,CN,Guangzhou,https://8.138.166.120:8088,"Hangzhou Alibaba Advertising Co.,Ltd."
https://124.223.158.52:10000,124.223.158.52,10000,https,403 Forbidden,,CN,Shanghai,https://124.223.158.52:10000,Shenzhen Tencent Computer Systems Company Limited
https://123.207.28.121:1025,123.207.28.121,1025,https,403 Forbidden,,CN,Guangzhou,https://123.207.28.121:1025,Shenzhen Tencent Computer Systems Company Limited
https://103.99.52.73:9443,103.99.52.73,9443,https,403 Forbidden,,CN,Wuhan,https://103.99.52.73:9443,Baxet Group Inc.
8.130.90.252,8.130.90.252,80,http,403 Forbidden,,CN,Beijing,http://8.130.90.252,"Hangzhou Alibaba Advertising Co.,Ltd."
https://122.51.13.180:80,122.51.13.180,80,https,403 Forbidden,,CN,Shanghai,https://122.51.13.180:80,Shenzhen Tencent Computer Systems Company Limited
https://122.51.21.104:80,122.51.21.104,80,https,403 Forbidden,,CN,Shanghai,https://122.51.21.104:80,Shenzhen Tencent Computer Systems Company Limited
https://47.109.101.55:10002,47.109.101.55,10002,https,403 Forbidden,,CN,Chengdu,https://47.109.101.55:10002,"Hangzhou Alibaba Advertising Co.,Ltd."
https://117.50.142.42,117.50.142.42,443,https,403 Forbidden,,CN,Shanghai,https://117.50.142.42,China Unicom Beijing Province Network
https://106.55.182.61:10443,106.55.182.61,10443,https,403 Forbidden,,CN,Guangzhou,https://106.55.182.61:10443,Shenzhen Tencent Computer Systems Company Limited
https://47.92.160.133,47.92.160.133,443,https,403 Forbidden,,CN,Beijing,https://47.92.160.133,"Hangzhou Alibaba Advertising Co.,Ltd."
https://45.140.205.103,45.140.205.103,443,https,403 Forbidden,,CN,Beijing,https://45.140.205.103,
https://182.92.214.81,182.92.214.81,443,https,403 Forbidden,,CN,Beijing,https://182.92.214.81,"Hangzhou Alibaba Advertising Co.,Ltd."
https://103.44.244.154,103.44.244.154,443,https,403 Forbidden,,CN,Guangzhou,https://103.44.244.154,China Telecom Group
https://192.238.142.32,192.238.142.32,443,https,403 Forbidden,,CN,Huizhou,https://192.238.142.32,Antbox Networks Limited
https://103.44.244.153,103.44.244.153,443,https,403 Forbidden,,CN,Guangzhou,https://103.44.244.153,China Telecom Group
https://192.238.232.62,192.238.232.62,443,https,403 Forbidden,,CN,Huizhou,https://192.238.232.62,Antbox Networks Limited
https://103.224.82.214,103.224.82.214,443,https,403 Forbidden,,CN,Hangzhou,https://103.224.82.214,Cloudie Limited
https://120.55.183.176,120.55.183.176,443,https,403 Forbidden,,CN,Hangzhou,https://120.55.183.176,"Hangzhou Alibaba Advertising Co.,Ltd."
https://39.97.234.61,39.97.234.61,443,https,403 Forbidden,,CN,Beijing,https://39.97.234.61,"Hangzhou Alibaba Advertising Co.,Ltd."
https://123.56.99.185,123.56.99.185,443,https,403 Forbidden,,CN,Beijing,https://123.56.99.185,"Hangzhou Alibaba Advertising Co.,Ltd."
https://39.105.123.133,39.105.123.133,443,https,403 Forbidden,,CN,Beijing,https://39.105.123.133,"Hangzhou Alibaba Advertising Co.,Ltd."
https://47.107.233.77,47.107.233.77,443,https,403 Forbidden,,CN,Shenzhen,https://47.107.233.77,"Hangzhou Alibaba Advertising Co.,Ltd."
https://106.14.25.166,106.14.25.166,443,https,403 Forbidden,,CN,Shanghai,https://106.14.25.166,"Hangzhou Alibaba Advertising Co.,Ltd."
https://103.210.160.98,103.210.160.98,443,https,403 Forbidden,,CN,Guangzhou,https://103.210.160.98,"CDS Global Cloud Co., Ltd"
https://193.119.28.30,193.119.28.30,443,https,403 Forbidden,,CN,Danzhou,https://193.119.28.30,China Telecom
https://43.240.192.239,43.240.192.239,443,https,403 Forbidden,,CN,Shanghai,https://43.240.192.239,China Unicom
https://103.44.244.160,103.44.244.160,443,https,403 Forbidden,,CN,Guangzhou,https://103.44.244.160,China Telecom Group
https://103.224.82.198,103.224.82.198,443,https,403 Forbidden,,CN,Hangzhou,https://103.224.82.198,Cloudie Limited
https://103.99.52.73,103.99.52.73,443,https,403 Forbidden,,CN,Wuhan,https://103.99.52.73,Baxet Group Inc.
https://192.238.232.39,192.238.232.39,443,https,403 Forbidden,,CN,Huizhou,https://192.238.232.39,Antbox Networks Limited
https://193.119.15.198,193.119.15.198,443,https,403 Forbidden,,CN,Danzhou,https://193.119.15.198,China Telecom
https://129.211.187.141,129.211.187.141,443,https,403 Forbidden,,CN,Nanjing,https://129.211.187.141,Shenzhen Tencent Computer Systems Company Limited
https://139.224.130.19,139.224.130.19,443,https,403 Forbidden,,CN,Shanghai,https://139.224.130.19,"Hangzhou Alibaba Advertising Co.,Ltd."
